,gender,match,samerace,age_o,dec_o,field_cd,like_o,shar_o,sinc_o,race_o,intel_o,attr_o,amb_o,fun_o,age,race,imprace,imprelig,exphappy,dec
0,0,0,0,27,0,1,7,6,8,2,8,6,8,8,21,4,2,4,3,1
1,0,0,0,22,0,1,8,5,8,2,10,7,7,7,21,4,2,4,3,1
2,0,1,1,22,1,1,10,10,10,4,10,10,10,10,21,4,2,4,3,1
3,0,1,0,23,1,1,7,8,8,2,9,7,9,8,21,4,2,4,3,1
4,0,1,0,24,1,1,8,7,7,3,9,8,9,6,21,4,2,4,3,1
5,0,0,0,25,1,1,7,7,7,2,8,7,7,8,21,4,2,4,3,0
6,0,0,0,30,0,1,2,7,6,2,7,3,8,5,21,4,2,4,3,1
7,0,0,0,27,0,1,7,6,7,2,5,6,8,6,21,4,2,4,3,0
8,0,1,0,28,1,1,6.5,9,7,2,8,7,8,8,21,4,2,4,3,1
9,0,0,0,24,0,1,6,6,6,2,6,6,6,6,21,4,2,4,3,1
10,0,0,1,27,0,1,7,4,7,2,6,8,7,9,24,2,2,5,4,0
11,0,0,1,22,0,1,8,5,6,2,10,7,6,6,24,2,2,5,4,0
12,0,0,0,22,1,1,10,10,10,4,10,10,10,10,24,2,2,5,4,0
13,0,1,1,23,1,1,9,9,9,2,9,9,9,9,24,2,2,5,4,1
14,0,0,0,24,1,1,10,8,10,3,10,10,7,10,24,2,2,5,4,0
15,0,0,1,25,1,1,7,7,8,2,7,7,7,5,24,2,2,5,4,0
16,0,0,1,30,0,1,4,3,3,2,4,5,5,3,24,2,2,5,4,1
17,0,0,1,27,1,1,7,5,7,2,7,7,7,7,24,2,2,5,4,0
18,0,1,1,28,1,1,8,7,6,2,9,8,8,9,24,2,2,5,4,1
19,0,0,1,24,0,1,6,7,5,2,7,6,9,7,24,2,2,5,4,1
20,0,0,1,27,0,2,5,4,8,2,6,7,8,5,25,2,8,4,4,0
21,0,0,1,22,0,2,7,5,7,2,10,6,6,6,25,2,8,4,4,0
22,0,0,0,22,1,2,10,10,10,4,10,10,10,10,25,2,8,4,4,0
23,0,0,1,23,1,2,7,8,9,2,8,7,8,8,25,2,8,4,4,0
24,0,0,0,24,1,2,6,,10,3,8,6,,6,25,2,8,4,4,0
25,0,0,1,25,1,2,6,6,6,2,6,7,6,6,25,2,8,4,4,0
26,0,0,1,30,0,2,2,4,3,2,5,6,5,4,25,2,8,4,4,0
27,0,0,1,27,0,2,5,4,5,2,6,4,6,4,25,2,8,4,4,0
28,0,0,1,28,1,2,7,7,7,2,6,7,7,8,25,2,8,4,4,0
29,0,0,1,24,0,2,5,6,6,2,8,5,8,5,25,2,8,4,4,0
30,0,0,1,27,0,1,6,5,7,2,8,6,7,7,23,2,1,1,1,0
31,0,0,1,22,0,1,6,5,5,2,10,6,6,6,23,2,1,1,1,0
32,0,0,0,22,1,1,10,10,10,4,10,10,10,10,23,2,1,1,1,0
33,0,1,1,23,1,1,8,9,7,2,7,7,9,9,23,2,1,1,1,1
