,Unnamed: 0,gender,match,samerace,age_o,field_cd,like_o,shar_o,sinc_o,race_o,intel_o,attr_o,amb_o,fun_o,age,race,imprace,imprelig,exphappy,career_c,dec_o
0,0.0,0.0,0.0,0.0,27.0,1.0,7.0,6.0,8.0,2.0,8.0,6.0,8.0,8.0,21.0,4.0,2.0,4.0,3.0,5.5712484237074404,0.0
1,1.0,0.0,0.0,0.0,22.0,1.0,8.0,5.0,8.0,2.0,10.0,7.0,7.0,7.0,21.0,4.0,2.0,4.0,3.0,5.5712484237074404,0.0
2,2.0,0.0,1.0,1.0,22.0,1.0,10.0,10.0,10.0,4.0,10.0,10.0,10.0,10.0,21.0,4.0,2.0,4.0,3.0,5.5712484237074404,1.0
3,3.0,0.0,1.0,0.0,23.0,1.0,7.0,8.0,8.0,2.0,9.0,7.0,9.0,8.0,21.0,4.0,2.0,4.0,3.0,5.5712484237074404,1.0
4,4.0,0.0,1.0,0.0,24.0,1.0,8.0,7.0,7.0,3.0,9.0,8.0,9.0,6.0,21.0,4.0,2.0,4.0,3.0,5.5712484237074404,1.0
5,5.0,0.0,0.0,0.0,25.0,1.0,7.0,7.0,7.0,2.0,8.0,7.0,7.0,8.0,21.0,4.0,2.0,4.0,3.0,5.5712484237074404,1.0
6,6.0,0.0,0.0,0.0,30.0,1.0,2.0,7.0,6.0,2.0,7.0,3.0,8.0,5.0,21.0,4.0,2.0,4.0,3.0,5.5712484237074404,0.0
7,7.0,0.0,0.0,0.0,27.0,1.0,7.0,6.0,7.0,2.0,5.0,6.0,8.0,6.0,21.0,4.0,2.0,4.0,3.0,5.5712484237074404,0.0
8,8.0,0.0,1.0,0.0,28.0,1.0,6.5,9.0,7.0,2.0,8.0,7.0,8.0,8.0,21.0,4.0,2.0,4.0,3.0,5.5712484237074404,1.0
9,9.0,0.0,0.0,0.0,24.0,1.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,21.0,4.0,2.0,4.0,3.0,5.5712484237074404,0.0
10,10.0,0.0,0.0,1.0,27.0,1.0,7.0,4.0,7.0,2.0,6.0,8.0,7.0,9.0,24.0,2.0,2.0,5.0,4.0,5.5712484237074404,0.0
11,11.0,0.0,0.0,1.0,22.0,1.0,8.0,5.0,6.0,2.0,10.0,7.0,6.0,6.0,24.0,2.0,2.0,5.0,4.0,5.5712484237074404,0.0
12,12.0,0.0,0.0,0.0,22.0,1.0,10.0,10.0,10.0,4.0,10.0,10.0,10.0,10.0,24.0,2.0,2.0,5.0,4.0,5.5712484237074404,1.0
13,13.0,0.0,1.0,1.0,23.0,1.0,9.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,24.0,2.0,2.0,5.0,4.0,5.5712484237074404,1.0
14,14.0,0.0,0.0,0.0,24.0,1.0,10.0,8.0,10.0,3.0,10.0,10.0,7.0,10.0,24.0,2.0,2.0,5.0,4.0,5.5712484237074404,1.0
15,15.0,0.0,0.0,1.0,25.0,1.0,7.0,7.0,8.0,2.0,7.0,7.0,7.0,5.0,24.0,2.0,2.0,5.0,4.0,5.5712484237074404,1.0
16,16.0,0.0,0.0,1.0,30.0,1.0,4.0,3.0,3.0,2.0,4.0,5.0,5.0,3.0,24.0,2.0,2.0,5.0,4.0,5.5712484237074404,0.0
17,17.0,0.0,0.0,1.0,27.0,1.0,7.0,5.0,7.0,2.0,7.0,7.0,7.0,7.0,24.0,2.0,2.0,5.0,4.0,5.5712484237074404,1.0
18,18.0,0.0,1.0,1.0,28.0,1.0,8.0,7.0,6.0,2.0,9.0,8.0,8.0,9.0,24.0,2.0,2.0,5.0,4.0,5.5712484237074404,1.0
19,19.0,0.0,0.0,1.0,24.0,1.0,6.0,7.0,5.0,2.0,7.0,6.0,9.0,7.0,24.0,2.0,2.0,5.0,4.0,5.5712484237074404,0.0
20,20.0,0.0,0.0,1.0,27.0,2.0,5.0,4.0,8.0,2.0,6.0,7.0,8.0,5.0,25.0,2.0,8.0,4.0,4.0,5.5712484237074404,0.0
21,21.0,0.0,0.0,1.0,22.0,2.0,7.0,5.0,7.0,2.0,10.0,6.0,6.0,6.0,25.0,2.0,8.0,4.0,4.0,5.5712484237074404,0.0
22,22.0,0.0,0.0,0.0,22.0,2.0,10.0,10.0,10.0,4.0,10.0,10.0,10.0,10.0,25.0,2.0,8.0,4.0,4.0,5.5712484237074404,1.0
23,23.0,0.0,0.0,1.0,23.0,2.0,7.0,8.0,9.0,2.0,8.0,7.0,8.0,8.0,25.0,2.0,8.0,4.0,4.0,5.5712484237074404,1.0
24,24.0,0.0,0.0,0.0,24.0,2.0,6.0,5.529150471960023,10.0,3.0,8.0,6.0,6.600160470714095,6.0,25.0,2.0,8.0,4.0,4.0,5.5712484237074404,1.0
25,25.0,0.0,0.0,1.0,25.0,2.0,6.0,6.0,6.0,2.0,6.0,7.0,6.0,6.0,25.0,2.0,8.0,4.0,4.0,5.5712484237074404,1.0
26,26.0,0.0,0.0,1.0,30.0,2.0,2.0,4.0,3.0,2.0,5.0,6.0,5.0,4.0,25.0,2.0,8.0,4.0,4.0,5.5712484237074404,0.0
27,27.0,0.0,0.0,1.0,27.0,2.0,5.0,4.0,5.0,2.0,6.0,4.0,6.0,4.0,25.0,2.0,8.0,4.0,4.0,5.5712484237074404,0.0
28,28.0,0.0,0.0,1.0,28.0,2.0,7.0,7.0,7.0,2.0,6.0,7.0,7.0,8.0,25.0,2.0,8.0,4.0,4.0,5.5712484237074404,1.0
29,29.0,0.0,0.0,1.0,24.0,2.0,5.0,6.0,6.0,2.0,8.0,5.0,8.0,5.0,25.0,2.0,8.0,4.0,4.0,5.5712484237074404,0.0
30,30.0,0.0,0.0,1.0,27.0,1.0,6.0,5.0,7.0,2.0,8.0,6.0,7.0,7.0,23.0,2.0,1.0,1.0,1.0,1.0,0.0
31,31.0,0.0,0.0,1.0,22.0,1.0,6.0,5.0,5.0,2.0,10.0,6.0,6.0,6.0,23.0,2.0,1.0,1.0,1.0,1.0,0.0
32,32.0,0.0,0.0,0.0,22.0,1.0,10.0,10.0,10.0,4.0,10.0,10.0,10.0,10.0,23.0,2.0,1.0,1.0,1.0,1.0,1.0
33,33.0,0.0,1.0,1.0,23.0,1.0,8.0,9.0,7.0,2.0,7.0,7.0,9.0,9.0,23.0,2.0,1.0,1.0,1.0,1.0,1.0
34,34.0,0.0,0.0,0.0,24.0,1.0,9.0,9.0,8.0,3.0,9.0,8.0,8.0,8.0,23.0,2.0,1.0,1.0,1.0,1.0,1.0
35,35.0,0.0,0.0,1.0,25.0,1.0,6.0,7.0,6.0,2.0,7.0,6.0,8.0,7.0,23.0,2.0,1.0,1.0,1.0,1.0,1.0
36,36.0,0.0,0.0,1.0,30.0,1.0,6.0,5.0,6.0,2.0,3.0,7.0,6.0,5.0,23.0,2.0,1.0,1.0,1.0,1.0,1.0
37,37.0,0.0,0.0,1.0,27.0,1.0,7.0,5.0,7.0,2.0,8.0,6.0,6.0,6.0,23.0,2.0,1.0,1.0,1.0,1.0,0.0
38,38.0,0.0,1.0,1.0,28.0,1.0,8.0,10.0,7.0,2.0,7.0,7.0,9.0,10.0,23.0,2.0,1.0,1.0,1.0,1.0,1.0
39,39.0,0.0,0.0,1.0,24.0,1.0,7.0,7.0,8.0,2.0,8.0,7.0,8.0,7.0,23.0,2.0,1.0,1.0,1.0,1.0,0.0
40,40.0,0.0,0.0,1.0,27.0,1.0,6.0,6.0,8.0,2.0,8.0,6.0,7.0,8.0,21.0,2.0,8.0,1.0,7.0,1.0,0.0
41,41.0,0.0,0.0,1.0,22.0,1.0,7.0,5.0,7.0,2.0,10.0,6.0,6.0,7.0,21.0,2.0,8.0,1.0,7.0,1.0,0.0
42,42.0,0.0,0.0,0.0,22.0,1.0,10.0,10.0,10.0,4.0,10.0,10.0,10.0,10.0,21.0,2.0,8.0,1.0,7.0,1.0,1.0
43,43.0,0.0,1.0,1.0,23.0,1.0,7.0,10.0,8.0,2.0,6.0,6.0,10.0,8.0,21.0,2.0,8.0,1.0,7.0,1.0,1.0
44,44.0,0.0,0.0,0.0,24.0,1.0,5.0,5.0,9.0,3.0,9.0,5.0,9.0,7.0,21.0,2.0,8.0,1.0,7.0,1.0,0.0
45,45.0,0.0,0.0,1.0,25.0,1.0,6.0,7.0,8.0,2.0,7.0,5.0,7.0,7.0,21.0,2.0,8.0,1.0,7.0,1.0,0.0
46,46.0,0.0,0.0,1.0,30.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,5.0,4.0,21.0,2.0,8.0,1.0,7.0,1.0,0.0
47,47.0,0.0,0.0,1.0,27.0,1.0,6.0,5.0,5.0,2.0,6.0,5.0,5.0,5.0,21.0,2.0,8.0,1.0,7.0,1.0,0.0
48,48.0,0.0,1.0,1.0,28.0,1.0,7.0,6.0,9.0,2.0,9.0,5.0,9.0,9.0,21.0,2.0,8.0,1.0,7.0,1.0,1.0
49,49.0,0.0,0.0,1.0,24.0,1.0,4.0,5.0,10.0,2.0,7.0,3.0,10.0,7.0,21.0,2.0,8.0,1.0,7.0,1.0,0.0
50,50.0,0.0,0.0,0.0,27.0,1.0,7.0,4.0,9.0,2.0,8.0,7.0,8.0,9.0,23.0,4.0,1.0,1.0,4.0,1.0,0.0
51,51.0,0.0,0.0,0.0,22.0,1.0,7.0,6.0,8.0,2.0,10.0,6.0,7.0,6.0,23.0,4.0,1.0,1.0,4.0,1.0,0.0
52,52.0,0.0,0.0,1.0,22.0,1.0,10.0,10.0,10.0,4.0,10.0,10.0,10.0,10.0,23.0,4.0,1.0,1.0,4.0,1.0,1.0
53,53.0,0.0,1.0,0.0,23.0,1.0,7.0,8.0,8.0,2.0,8.0,6.0,9.0,7.0,23.0,4.0,1.0,1.0,4.0,1.0,1.0
54,54.0,0.0,0.0,0.0,24.0,1.0,9.0,6.0,7.0,3.0,9.0,9.0,9.0,7.0,23.0,4.0,1.0,1.0,4.0,1.0,1.0
55,55.0,0.0,0.0,0.0,25.0,1.0,6.0,7.0,6.0,2.0,8.0,6.0,8.0,8.0,23.0,4.0,1.0,1.0,4.0,1.0,1.0
56,56.0,0.0,0.0,0.0,30.0,1.0,3.0,4.0,6.0,2.0,8.0,5.0,5.0,4.0,23.0,4.0,1.0,1.0,4.0,1.0,0.0
