,Unnamed: 0,gender,match,samerace,age_o,field_cd,like_o,shar_o,sinc_o,race_o,intel_o,attr_o,amb_o,fun_o,age,race,imprace,imprelig,exphappy,career_c,dec_o
30,30,0,0,1,27,1,6.0,5.0,7.0,2,8.0,6.0,7.0,7.0,23,2,1,1,1,1.0,0
31,31,0,0,1,22,1,6.0,5.0,5.0,2,10.0,6.0,6.0,6.0,23,2,1,1,1,1.0,0
32,32,0,0,0,22,1,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,23,2,1,1,1,1.0,1
33,33,0,1,1,23,1,8.0,9.0,7.0,2,7.0,7.0,9.0,9.0,23,2,1,1,1,1.0,1
34,34,0,0,0,24,1,9.0,9.0,8.0,3,9.0,8.0,8.0,8.0,23,2,1,1,1,1.0,1
35,35,0,0,1,25,1,6.0,7.0,6.0,2,7.0,6.0,8.0,7.0,23,2,1,1,1,1.0,1
36,36,0,0,1,30,1,6.0,5.0,6.0,2,3.0,7.0,6.0,5.0,23,2,1,1,1,1.0,1
37,37,0,0,1,27,1,7.0,5.0,7.0,2,8.0,6.0,6.0,6.0,23,2,1,1,1,1.0,0
38,38,0,1,1,28,1,8.0,10.0,7.0,2,7.0,7.0,9.0,10.0,23,2,1,1,1,1.0,1
39,39,0,0,1,24,1,7.0,7.0,8.0,2,8.0,7.0,8.0,7.0,23,2,1,1,1,1.0,0
40,40,0,0,1,27,1,6.0,6.0,8.0,2,8.0,6.0,7.0,8.0,21,2,8,1,7,1.0,0
41,41,0,0,1,22,1,7.0,5.0,7.0,2,10.0,6.0,6.0,7.0,21,2,8,1,7,1.0,0
42,42,0,0,0,22,1,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,21,2,8,1,7,1.0,1
43,43,0,1,1,23,1,7.0,10.0,8.0,2,6.0,6.0,10.0,8.0,21,2,8,1,7,1.0,1
44,44,0,0,0,24,1,5.0,5.0,9.0,3,9.0,5.0,9.0,7.0,21,2,8,1,7,1.0,0
45,45,0,0,1,25,1,6.0,7.0,8.0,2,7.0,5.0,7.0,7.0,21,2,8,1,7,1.0,0
46,46,0,0,1,30,1,3.0,3.0,3.0,2,4.0,2.0,5.0,4.0,21,2,8,1,7,1.0,0
47,47,0,0,1,27,1,6.0,5.0,5.0,2,6.0,5.0,5.0,5.0,21,2,8,1,7,1.0,0
48,48,0,1,1,28,1,7.0,6.0,9.0,2,9.0,5.0,9.0,9.0,21,2,8,1,7,1.0,1
49,49,0,0,1,24,1,4.0,5.0,10.0,2,7.0,3.0,10.0,7.0,21,2,8,1,7,1.0,0
50,50,0,0,0,27,1,7.0,4.0,9.0,2,8.0,7.0,8.0,9.0,23,4,1,1,4,1.0,0
51,51,0,0,0,22,1,7.0,6.0,8.0,2,10.0,6.0,7.0,6.0,23,4,1,1,4,1.0,0
52,52,0,0,1,22,1,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,23,4,1,1,4,1.0,1
53,53,0,1,0,23,1,7.0,8.0,8.0,2,8.0,6.0,9.0,7.0,23,4,1,1,4,1.0,1
54,54,0,0,0,24,1,9.0,6.0,7.0,3,9.0,9.0,9.0,7.0,23,4,1,1,4,1.0,1
55,55,0,0,0,25,1,6.0,7.0,6.0,2,8.0,6.0,8.0,8.0,23,4,1,1,4,1.0,1
56,56,0,0,0,30,1,3.0,4.0,6.0,2,8.0,5.0,5.0,4.0,23,4,1,1,4,1.0,0
57,57,0,0,0,27,1,7.0,5.0,7.0,2,8.0,6.0,8.0,7.0,23,4,1,1,4,1.0,0
58,58,0,1,0,28,1,6.0,6.0,7.0,2,7.0,6.0,6.0,6.0,23,4,1,1,4,1.0,1
59,59,0,0,0,24,1,6.0,7.0,10.0,2,10.0,7.0,10.0,6.0,23,4,1,1,4,1.0,0
60,60,0,0,0,27,1,7.0,7.0,8.0,2,8.0,7.0,7.0,8.0,22,4,2,4,7,1.0,0
61,61,0,0,0,22,1,8.0,5.0,9.0,2,10.0,7.0,6.0,6.0,22,4,2,4,7,1.0,1
62,62,0,0,1,22,1,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,22,4,2,4,7,1.0,1
63,63,0,1,0,23,1,8.0,9.0,8.0,2,9.0,8.0,9.0,8.0,22,4,2,4,7,1.0,1
64,64,0,0,0,24,1,8.0,5.0,7.0,3,9.0,8.0,9.0,6.0,22,4,2,4,7,1.0,1
65,65,0,0,0,25,1,7.0,6.0,8.0,2,8.0,8.0,6.0,6.0,22,4,2,4,7,1.0,1
66,66,0,0,0,30,1,5.0,3.0,6.0,2,5.0,7.0,4.0,4.0,22,4,2,4,7,1.0,0
67,67,0,0,0,27,1,7.0,5.0,7.0,2,6.0,8.0,7.0,7.0,22,4,2,4,7,1.0,1
68,68,0,1,0,28,1,9.0,10.0,7.0,2,9.0,9.0,9.0,9.0,22,4,2,4,7,1.0,1
69,69,0,0,0,24,1,7.0,7.0,6.0,2,8.0,7.0,8.0,6.0,22,4,2,4,7,1.0,0
70,70,0,0,1,27,13,7.0,5.0,7.0,2,6.0,8.0,6.0,6.0,25,2,1,1,6,6.0,0
71,71,0,1,1,22,13,9.0,5.0,8.0,2,10.0,8.0,6.0,7.0,25,2,1,1,6,6.0,1
72,72,0,1,0,22,13,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,25,2,1,1,6,6.0,1
73,73,0,1,1,23,13,8.0,7.0,8.0,2,8.0,8.0,8.0,8.0,25,2,1,1,6,6.0,1
75,75,0,1,1,25,13,7.0,7.0,7.0,2,7.0,8.0,8.0,7.0,25,2,1,1,6,6.0,1
76,76,0,0,1,30,13,4.0,4.0,4.0,2,7.0,6.0,6.0,5.0,25,2,1,1,6,6.0,0
77,77,0,1,1,27,13,7.0,5.0,8.0,2,8.0,9.0,7.0,8.0,25,2,1,1,6,6.0,1
78,78,0,1,1,28,13,8.0,10.0,7.0,2,8.0,8.0,8.0,10.0,25,2,1,1,6,6.0,1
79,79,0,1,1,24,13,8.0,8.0,10.0,2,9.0,8.0,8.0,9.0,25,2,1,1,6,6.0,1
80,80,0,0,0,27,13,6.0,5.0,8.0,2,7.0,6.0,7.0,8.0,26,6,1,1,6,9.0,0
81,81,0,1,0,22,13,8.0,5.0,8.0,2,10.0,8.0,6.0,7.0,26,6,1,1,6,9.0,1
82,82,0,1,0,22,13,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,26,6,1,1,6,9.0,1
83,83,0,1,0,23,13,7.0,7.0,8.0,2,7.0,7.0,8.0,8.0,26,6,1,1,6,9.0,1
84,84,0,1,0,24,13,7.0,7.0,9.0,3,8.0,7.0,7.0,9.0,26,6,1,1,6,9.0,1
85,85,0,1,0,25,13,6.0,7.0,6.0,2,7.0,6.0,7.0,8.0,26,6,1,1,6,9.0,1
86,86,0,1,0,30,13,8.0,5.0,6.0,2,7.0,8.0,6.0,8.0,26,6,1,1,6,9.0,1
87,87,0,0,0,27,13,7.0,5.0,7.0,2,7.0,7.0,6.0,7.0,26,6,1,1,6,9.0,0
88,88,0,1,0,28,13,6.0,6.0,6.0,2,6.0,6.0,6.0,7.0,26,6,1,1,6,9.0,1
89,89,0,0,0,24,13,6.0,6.0,6.0,2,6.0,5.0,6.0,6.0,26,6,1,1,6,9.0,0
90,90,0,0,1,27,13,6.0,5.0,8.0,2,7.0,7.0,6.0,8.0,26,2,4,4,7,9.0,0
91,91,0,0,1,22,13,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,26,2,4,4,7,9.0,0
92,92,0,1,0,22,13,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,26,2,4,4,7,9.0,1
93,93,0,0,1,23,13,7.0,8.0,8.0,2,7.0,7.0,8.0,9.0,26,2,4,4,7,9.0,1
96,96,0,0,1,30,13,3.0,4.0,7.0,2,4.0,7.0,4.0,3.0,26,2,4,4,7,9.0,0
97,97,0,0,1,27,13,7.0,5.0,6.0,2,6.0,6.0,6.0,6.0,26,2,4,4,7,9.0,0
98,98,0,1,1,28,13,7.0,6.0,7.0,2,7.0,7.0,6.0,7.0,26,2,4,4,7,9.0,1
99,99,0,0,1,24,13,7.0,6.0,6.0,2,6.0,6.0,6.0,6.0,26,2,4,4,7,9.0,0
100,200,0,0,1,25,5,4.0,7.0,10.0,4,10.0,3.0,4.0,6.0,21,4,8,10,5,10.0,0
102,202,0,0,1,23,5,6.0,2.0,10.0,4,9.0,3.0,9.0,5.0,21,4,8,10,5,10.0,0
103,203,0,0,0,24,5,5.0,2.0,5.0,2,6.0,4.0,6.0,4.0,21,4,8,10,5,10.0,0
104,204,0,0,0,24,5,8.0,7.0,7.0,2,8.0,6.0,7.0,6.0,21,4,8,10,5,10.0,1
105,205,0,0,0,28,5,7.0,6.0,8.0,2,8.0,7.0,9.0,7.0,21,4,8,10,5,10.0,1
106,206,0,0,0,26,5,8.0,8.0,7.0,2,10.0,6.0,9.0,8.0,21,4,8,10,5,10.0,0
107,207,0,0,0,30,5,5.0,7.0,5.0,2,6.0,9.0,5.0,5.0,21,4,8,10,5,10.0,1
108,208,0,0,0,22,5,4.0,3.0,8.0,2,5.0,3.0,8.0,5.0,21,4,8,10,5,10.0,0
109,209,0,0,1,25,5,6.0,4.0,7.0,4,8.0,6.0,6.0,4.0,21,4,8,10,5,10.0,0
