,gender,match,samerace,age_o,field_cd,like_o,shar_o,sinc_o,race_o,intel_o,attr_o,amb_o,fun_o,age,race,imprace,imprelig,exphappy,career_c,dec_o
0,0,0,0,27,1,7.0,6.0,8.0,2,8.0,6.0,8.0,8.0,21,4,2,4,3,,0
1,0,0,0,22,1,8.0,5.0,8.0,2,10.0,7.0,7.0,7.0,21,4,2,4,3,,0
2,0,1,1,22,1,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,21,4,2,4,3,,1
3,0,1,0,23,1,7.0,8.0,8.0,2,9.0,7.0,9.0,8.0,21,4,2,4,3,,1
4,0,1,0,24,1,8.0,7.0,7.0,3,9.0,8.0,9.0,6.0,21,4,2,4,3,,1
5,0,0,0,25,1,7.0,7.0,7.0,2,8.0,7.0,7.0,8.0,21,4,2,4,3,,1
6,0,0,0,30,1,2.0,7.0,6.0,2,7.0,3.0,8.0,5.0,21,4,2,4,3,,0
7,0,0,0,27,1,7.0,6.0,7.0,2,5.0,6.0,8.0,6.0,21,4,2,4,3,,0
8,0,1,0,28,1,6.5,9.0,7.0,2,8.0,7.0,8.0,8.0,21,4,2,4,3,,1
9,0,0,0,24,1,6.0,6.0,6.0,2,6.0,6.0,6.0,6.0,21,4,2,4,3,,0
10,0,0,1,27,1,7.0,4.0,7.0,2,6.0,8.0,7.0,9.0,24,2,2,5,4,,0
11,0,0,1,22,1,8.0,5.0,6.0,2,10.0,7.0,6.0,6.0,24,2,2,5,4,,0
12,0,0,0,22,1,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,24,2,2,5,4,,1
13,0,1,1,23,1,9.0,9.0,9.0,2,9.0,9.0,9.0,9.0,24,2,2,5,4,,1
14,0,0,0,24,1,10.0,8.0,10.0,3,10.0,10.0,7.0,10.0,24,2,2,5,4,,1
15,0,0,1,25,1,7.0,7.0,8.0,2,7.0,7.0,7.0,5.0,24,2,2,5,4,,1
16,0,0,1,30,1,4.0,3.0,3.0,2,4.0,5.0,5.0,3.0,24,2,2,5,4,,0
17,0,0,1,27,1,7.0,5.0,7.0,2,7.0,7.0,7.0,7.0,24,2,2,5,4,,1
18,0,1,1,28,1,8.0,7.0,6.0,2,9.0,8.0,8.0,9.0,24,2,2,5,4,,1
19,0,0,1,24,1,6.0,7.0,5.0,2,7.0,6.0,9.0,7.0,24,2,2,5,4,,0
20,0,0,1,27,2,5.0,4.0,8.0,2,6.0,7.0,8.0,5.0,25,2,8,4,4,,0
21,0,0,1,22,2,7.0,5.0,7.0,2,10.0,6.0,6.0,6.0,25,2,8,4,4,,0
22,0,0,0,22,2,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,25,2,8,4,4,,1
23,0,0,1,23,2,7.0,8.0,9.0,2,8.0,7.0,8.0,8.0,25,2,8,4,4,,1
24,0,0,0,24,2,6.0,,10.0,3,8.0,6.0,,6.0,25,2,8,4,4,,1
25,0,0,1,25,2,6.0,6.0,6.0,2,6.0,7.0,6.0,6.0,25,2,8,4,4,,1
26,0,0,1,30,2,2.0,4.0,3.0,2,5.0,6.0,5.0,4.0,25,2,8,4,4,,0
27,0,0,1,27,2,5.0,4.0,5.0,2,6.0,4.0,6.0,4.0,25,2,8,4,4,,0
28,0,0,1,28,2,7.0,7.0,7.0,2,6.0,7.0,7.0,8.0,25,2,8,4,4,,1
29,0,0,1,24,2,5.0,6.0,6.0,2,8.0,5.0,8.0,5.0,25,2,8,4,4,,0
30,0,0,1,27,1,6.0,5.0,7.0,2,8.0,6.0,7.0,7.0,23,2,1,1,1,1.0,0
31,0,0,1,22,1,6.0,5.0,5.0,2,10.0,6.0,6.0,6.0,23,2,1,1,1,1.0,0
32,0,0,0,22,1,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,23,2,1,1,1,1.0,1
33,0,1,1,23,1,8.0,9.0,7.0,2,7.0,7.0,9.0,9.0,23,2,1,1,1,1.0,1
34,0,0,0,24,1,9.0,9.0,8.0,3,9.0,8.0,8.0,8.0,23,2,1,1,1,1.0,1
35,0,0,1,25,1,6.0,7.0,6.0,2,7.0,6.0,8.0,7.0,23,2,1,1,1,1.0,1
36,0,0,1,30,1,6.0,5.0,6.0,2,3.0,7.0,6.0,5.0,23,2,1,1,1,1.0,1
37,0,0,1,27,1,7.0,5.0,7.0,2,8.0,6.0,6.0,6.0,23,2,1,1,1,1.0,0
38,0,1,1,28,1,8.0,10.0,7.0,2,7.0,7.0,9.0,10.0,23,2,1,1,1,1.0,1
39,0,0,1,24,1,7.0,7.0,8.0,2,8.0,7.0,8.0,7.0,23,2,1,1,1,1.0,0
40,0,0,1,27,1,6.0,6.0,8.0,2,8.0,6.0,7.0,8.0,21,2,8,1,7,1.0,0
41,0,0,1,22,1,7.0,5.0,7.0,2,10.0,6.0,6.0,7.0,21,2,8,1,7,1.0,0
42,0,0,0,22,1,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,21,2,8,1,7,1.0,1
43,0,1,1,23,1,7.0,10.0,8.0,2,6.0,6.0,10.0,8.0,21,2,8,1,7,1.0,1
44,0,0,0,24,1,5.0,5.0,9.0,3,9.0,5.0,9.0,7.0,21,2,8,1,7,1.0,0
45,0,0,1,25,1,6.0,7.0,8.0,2,7.0,5.0,7.0,7.0,21,2,8,1,7,1.0,0
46,0,0,1,30,1,3.0,3.0,3.0,2,4.0,2.0,5.0,4.0,21,2,8,1,7,1.0,0
47,0,0,1,27,1,6.0,5.0,5.0,2,6.0,5.0,5.0,5.0,21,2,8,1,7,1.0,0
48,0,1,1,28,1,7.0,6.0,9.0,2,9.0,5.0,9.0,9.0,21,2,8,1,7,1.0,1
49,0,0,1,24,1,4.0,5.0,10.0,2,7.0,3.0,10.0,7.0,21,2,8,1,7,1.0,0
50,0,0,0,27,1,7.0,4.0,9.0,2,8.0,7.0,8.0,9.0,23,4,1,1,4,1.0,0
51,0,0,0,22,1,7.0,6.0,8.0,2,10.0,6.0,7.0,6.0,23,4,1,1,4,1.0,0
52,0,0,1,22,1,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,23,4,1,1,4,1.0,1
53,0,1,0,23,1,7.0,8.0,8.0,2,8.0,6.0,9.0,7.0,23,4,1,1,4,1.0,1
54,0,0,0,24,1,9.0,6.0,7.0,3,9.0,9.0,9.0,7.0,23,4,1,1,4,1.0,1
55,0,0,0,25,1,6.0,7.0,6.0,2,8.0,6.0,8.0,8.0,23,4,1,1,4,1.0,1
56,0,0,0,30,1,3.0,4.0,6.0,2,8.0,5.0,5.0,4.0,23,4,1,1,4,1.0,0
57,0,0,0,27,1,7.0,5.0,7.0,2,8.0,6.0,8.0,7.0,23,4,1,1,4,1.0,0
58,0,1,0,28,1,6.0,6.0,7.0,2,7.0,6.0,6.0,6.0,23,4,1,1,4,1.0,1
59,0,0,0,24,1,6.0,7.0,10.0,2,10.0,7.0,10.0,6.0,23,4,1,1,4,1.0,0
60,0,0,0,27,1,7.0,7.0,8.0,2,8.0,7.0,7.0,8.0,22,4,2,4,7,1.0,0
61,0,0,0,22,1,8.0,5.0,9.0,2,10.0,7.0,6.0,6.0,22,4,2,4,7,1.0,1
62,0,0,1,22,1,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,22,4,2,4,7,1.0,1
63,0,1,0,23,1,8.0,9.0,8.0,2,9.0,8.0,9.0,8.0,22,4,2,4,7,1.0,1
64,0,0,0,24,1,8.0,5.0,7.0,3,9.0,8.0,9.0,6.0,22,4,2,4,7,1.0,1
65,0,0,0,25,1,7.0,6.0,8.0,2,8.0,8.0,6.0,6.0,22,4,2,4,7,1.0,1
66,0,0,0,30,1,5.0,3.0,6.0,2,5.0,7.0,4.0,4.0,22,4,2,4,7,1.0,0
67,0,0,0,27,1,7.0,5.0,7.0,2,6.0,8.0,7.0,7.0,22,4,2,4,7,1.0,1
68,0,1,0,28,1,9.0,10.0,7.0,2,9.0,9.0,9.0,9.0,22,4,2,4,7,1.0,1
69,0,0,0,24,1,7.0,7.0,6.0,2,8.0,7.0,8.0,6.0,22,4,2,4,7,1.0,0
70,0,0,1,27,13,7.0,5.0,7.0,2,6.0,8.0,6.0,6.0,25,2,1,1,6,6.0,0
71,0,1,1,22,13,9.0,5.0,8.0,2,10.0,8.0,6.0,7.0,25,2,1,1,6,6.0,1
72,0,1,0,22,13,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,25,2,1,1,6,6.0,1
73,0,1,1,23,13,8.0,7.0,8.0,2,8.0,8.0,8.0,8.0,25,2,1,1,6,6.0,1
74,0,1,0,24,13,9.0,7.0,9.0,3,8.0,9.0,,9.0,25,2,1,1,6,6.0,1
75,0,1,1,25,13,7.0,7.0,7.0,2,7.0,8.0,8.0,7.0,25,2,1,1,6,6.0,1
76,0,0,1,30,13,4.0,4.0,4.0,2,7.0,6.0,6.0,5.0,25,2,1,1,6,6.0,0
77,0,1,1,27,13,7.0,5.0,8.0,2,8.0,9.0,7.0,8.0,25,2,1,1,6,6.0,1
78,0,1,1,28,13,8.0,10.0,7.0,2,8.0,8.0,8.0,10.0,25,2,1,1,6,6.0,1
79,0,1,1,24,13,8.0,8.0,10.0,2,9.0,8.0,8.0,9.0,25,2,1,1,6,6.0,1
80,0,0,0,27,13,6.0,5.0,8.0,2,7.0,6.0,7.0,8.0,26,6,1,1,6,9.0,0
81,0,1,0,22,13,8.0,5.0,8.0,2,10.0,8.0,6.0,7.0,26,6,1,1,6,9.0,1
82,0,1,0,22,13,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,26,6,1,1,6,9.0,1
83,0,1,0,23,13,7.0,7.0,8.0,2,7.0,7.0,8.0,8.0,26,6,1,1,6,9.0,1
84,0,1,0,24,13,7.0,7.0,9.0,3,8.0,7.0,7.0,9.0,26,6,1,1,6,9.0,1
85,0,1,0,25,13,6.0,7.0,6.0,2,7.0,6.0,7.0,8.0,26,6,1,1,6,9.0,1
86,0,1,0,30,13,8.0,5.0,6.0,2,7.0,8.0,6.0,8.0,26,6,1,1,6,9.0,1
87,0,0,0,27,13,7.0,5.0,7.0,2,7.0,7.0,6.0,7.0,26,6,1,1,6,9.0,0
88,0,1,0,28,13,6.0,6.0,6.0,2,6.0,6.0,6.0,7.0,26,6,1,1,6,9.0,1
89,0,0,0,24,13,6.0,6.0,6.0,2,6.0,5.0,6.0,6.0,26,6,1,1,6,9.0,0
90,0,0,1,27,13,6.0,5.0,8.0,2,7.0,7.0,6.0,8.0,26,2,4,4,7,9.0,0
91,0,0,1,22,13,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,26,2,4,4,7,9.0,0
92,0,1,0,22,13,10.0,10.0,10.0,4,10.0,10.0,10.0,10.0,26,2,4,4,7,9.0,1
93,0,0,1,23,13,7.0,8.0,8.0,2,7.0,7.0,8.0,9.0,26,2,4,4,7,9.0,1
94,0,0,0,24,13,6.0,,9.0,3,9.0,6.0,8.0,7.0,26,2,4,4,7,9.0,1
95,0,0,1,25,13,6.0,7.0,8.0,2,7.0,,7.0,7.0,26,2,4,4,7,9.0,0
96,0,0,1,30,13,3.0,4.0,7.0,2,4.0,7.0,4.0,3.0,26,2,4,4,7,9.0,0
97,0,0,1,27,13,7.0,5.0,6.0,2,6.0,6.0,6.0,6.0,26,2,4,4,7,9.0,0
98,0,1,1,28,13,7.0,6.0,7.0,2,7.0,7.0,6.0,7.0,26,2,4,4,7,9.0,1
99,0,0,1,24,13,7.0,6.0,6.0,2,6.0,6.0,6.0,6.0,26,2,4,4,7,9.0,0
200,0,0,1,25,5,4.0,7.0,10.0,4,10.0,3.0,4.0,6.0,21,4,8,10,5,10.0,0
201,0,0,1,30,5,5.0,,5.0,4,5.0,5.0,5.0,5.0,21,4,8,10,5,10.0,0
202,0,0,1,23,5,6.0,2.0,10.0,4,9.0,3.0,9.0,5.0,21,4,8,10,5,10.0,0
203,0,0,0,24,5,5.0,2.0,5.0,2,6.0,4.0,6.0,4.0,21,4,8,10,5,10.0,0
204,0,0,0,24,5,8.0,7.0,7.0,2,8.0,6.0,7.0,6.0,21,4,8,10,5,10.0,1
205,0,0,0,28,5,7.0,6.0,8.0,2,8.0,7.0,9.0,7.0,21,4,8,10,5,10.0,1
206,0,0,0,26,5,8.0,8.0,7.0,2,10.0,6.0,9.0,8.0,21,4,8,10,5,10.0,0
207,0,0,0,30,5,5.0,7.0,5.0,2,6.0,9.0,5.0,5.0,21,4,8,10,5,10.0,1
208,0,0,0,22,5,4.0,3.0,8.0,2,5.0,3.0,8.0,5.0,21,4,8,10,5,10.0,0
209,0,0,1,25,5,6.0,4.0,7.0,4,8.0,6.0,6.0,4.0,21,4,8,10,5,10.0,0
210,0,0,0,27,5,7.0,,8.0,1,8.0,5.0,,,21,4,8,10,5,10.0,0
211,0,0,0,23,5,5.0,2.0,8.0,2,8.0,2.0,2.0,3.0,21,4,8,10,5,10.0,0
212,0,0,0,21,5,6.0,6.0,6.0,2,8.0,6.0,7.0,6.0,21,4,8,10,5,10.0,0
213,0,0,0,28,5,7.0,6.0,8.0,2,8.0,6.0,7.0,7.0,21,4,8,10,5,10.0,0
214,0,0,0,28,5,5.0,5.0,7.0,2,7.0,5.0,7.0,7.0,21,4,8,10,5,10.0,0
215,0,0,0,23,5,6.0,5.0,8.0,1,10.0,5.0,9.0,7.0,21,4,8,10,5,10.0,0
216,0,0,0,25,9,3.0,4.0,10.0,4,8.0,4.0,6.0,8.0,27,1,1,2,4,5.0,0
217,0,0,0,30,9,5.0,,5.0,4,5.0,5.0,5.0,5.0,27,1,1,2,4,5.0,0
218,0,0,0,23,9,2.0,1.0,6.0,4,8.0,3.0,5.0,5.0,27,1,1,2,4,5.0,0
219,0,0,0,24,9,5.0,1.0,5.0,2,5.0,4.0,5.0,3.0,27,1,1,2,4,5.0,0
220,0,1,0,24,9,6.0,5.0,7.0,2,6.0,6.0,8.0,6.0,27,1,1,2,4,5.0,1
221,0,1,0,28,9,6.0,5.0,7.0,2,7.0,7.0,6.0,5.0,27,1,1,2,4,5.0,1
222,0,0,0,26,9,5.0,5.0,8.0,2,5.0,5.0,6.0,5.0,27,1,1,2,4,5.0,0
