,gender,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,race,imprace,imprelig,income,career_c,dec_o
30,0,1,27,2,35.0,20.0,20.0,20.0,0.0,5.0,6.0,7.0,8.0,7.0,7.0,5.0,6.0,3.0,1,23,1,2,1,1,"37,754.00",1.0,0
31,0,1,22,2,60.0,0.0,0.0,40.0,0.0,0.0,6.0,5.0,10.0,6.0,6.0,5.0,6.0,3.0,0,23,1,2,1,1,"37,754.00",1.0,0
32,0,0,22,4,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,23,1,2,1,1,"37,754.00",1.0,1
33,0,1,23,2,30.0,5.0,15.0,40.0,5.0,5.0,7.0,7.0,7.0,9.0,9.0,9.0,8.0,10.0,0,23,1,2,1,1,"37,754.00",1.0,1
34,0,0,24,3,30.0,10.0,20.0,10.0,10.0,20.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,1,23,1,2,1,1,"37,754.00",1.0,1
35,0,1,25,2,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0,1,23,1,2,1,1,"37,754.00",1.0,1
36,0,1,30,2,35.0,15.0,25.0,10.0,5.0,10.0,7.0,6.0,3.0,5.0,6.0,5.0,6.0,4.0,1,23,1,2,1,1,"37,754.00",1.0,1
37,0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,8.0,6.0,6.0,5.0,7.0,7.0,1,23,1,2,1,1,"37,754.00",1.0,0
38,0,1,28,2,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,7.0,10.0,9.0,10.0,8.0,8.0,1,23,1,2,1,1,"37,754.00",1.0,1
39,0,1,24,2,100.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,1,23,1,2,1,1,"37,754.00",1.0,0
40,0,1,27,2,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0,1,21,1,2,8,1,"86,340.00",1.0,0
41,0,1,22,2,60.0,0.0,0.0,40.0,0.0,0.0,6.0,7.0,10.0,7.0,6.0,5.0,7.0,4.0,0,21,1,2,8,1,"86,340.00",1.0,0
42,0,0,22,4,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,21,1,2,8,1,"86,340.00",1.0,1
43,0,1,23,2,30.0,5.0,15.0,40.0,5.0,5.0,6.0,8.0,6.0,8.0,10.0,10.0,7.0,7.0,0,21,1,2,8,1,"86,340.00",1.0,1
44,0,0,24,3,30.0,10.0,20.0,10.0,10.0,20.0,5.0,9.0,9.0,7.0,9.0,5.0,5.0,7.0,1,21,1,2,8,1,"86,340.00",1.0,0
45,0,1,25,2,50.0,0.0,30.0,10.0,0.0,10.0,5.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,1,21,1,2,8,1,"86,340.00",1.0,0
46,0,1,30,2,35.0,15.0,25.0,10.0,5.0,10.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,1,21,1,2,8,1,"86,340.00",1.0,0
47,0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,1,21,1,2,8,1,"86,340.00",1.0,0
48,0,1,28,2,50.0,0.0,25.0,10.0,0.0,15.0,5.0,9.0,9.0,9.0,9.0,6.0,7.0,7.0,1,21,1,2,8,1,"86,340.00",1.0,1
49,0,1,24,2,100.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.0,10.0,5.0,4.0,10.0,1,21,1,2,8,1,"86,340.00",1.0,0
50,0,0,27,2,35.0,20.0,20.0,20.0,0.0,5.0,7.0,9.0,8.0,9.0,8.0,4.0,7.0,4.0,1,23,1,4,1,1,"60,304.00",1.0,0
51,0,0,22,2,60.0,0.0,0.0,40.0,0.0,0.0,6.0,8.0,10.0,6.0,7.0,6.0,7.0,4.0,1,23,1,4,1,1,"60,304.00",1.0,0
52,0,1,22,4,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,23,1,4,1,1,"60,304.00",1.0,1
53,0,0,23,2,30.0,5.0,15.0,40.0,5.0,5.0,6.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,1,23,1,4,1,1,"60,304.00",1.0,1
