gender,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,race,imprace,imprelig,income,career_c,dec_o
0,0,27,2,35,20,20,20,0,5,6,8,8,8,8,6,7,4,1,21,1,4,2,4,"69,487.00",,0
0,0,22,2,60,0,0,40,0,0,7,8,10,7,7,5,8,4,1,21,1,4,2,4,"69,487.00",,0
0,1,22,4,19,18,19,18,14,12,10,10,10,10,10,10,10,10,0,21,1,4,2,4,"69,487.00",,1
0,0,23,2,30,5,15,40,5,5,7,8,9,8,9,8,7,7,1,21,1,4,2,4,"69,487.00",,1
0,0,24,3,30,10,20,10,10,20,8,7,9,6,9,7,8,6,1,21,1,4,2,4,"69,487.00",,1
0,0,25,2,50,0,30,10,0,10,7,7,8,8,7,7,7,6,1,21,1,4,2,4,"69,487.00",,1
0,0,30,2,35,15,25,10,5,10,3,6,7,5,8,7,2,1,1,21,1,4,2,4,"69,487.00",,0
0,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,8,6,7,5,1,21,1,4,2,4,"69,487.00",,0
0,0,28,2,50,0,25,10,0,15,7,7,8,8,8,9,6.5,8,1,21,1,4,2,4,"69,487.00",,1
0,0,24,2,100,0,0,0,0,0,6,6,6,6,6,6,6,6,1,21,1,4,2,4,"69,487.00",,0
0,1,27,2,35,20,20,20,0,5,8,7,6,9,7,4,7,2,1,24,1,2,2,5,"65,929.00",,0
0,1,22,2,60,0,0,40,0,0,7,6,10,6,6,5,8,4,1,24,1,2,2,5,"65,929.00",,0
0,0,22,4,19,18,19,18,14,12,10,10,10,10,10,10,10,10,1,24,1,2,2,5,"65,929.00",,1
0,1,23,2,30,5,15,40,5,5,9,9,9,9,9,9,9,7,1,24,1,2,2,5,"65,929.00",,1
0,0,24,3,30,10,20,10,10,20,10,10,10,10,7,8,10,1,0,24,1,2,2,5,"65,929.00",,1
0,1,25,2,50,0,30,10,0,10,7,8,7,5,7,7,7,5,1,24,1,2,2,5,"65,929.00",,1
0,1,30,2,35,15,25,10,5,10,5,3,4,3,5,3,4,3,1,24,1,2,2,5,"65,929.00",,0
0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,7,5,7,6,1,24,1,2,2,5,"65,929.00",,1
0,1,28,2,50,0,25,10,0,15,8,6,9,9,8,7,8,8,1,24,1,2,2,5,"65,929.00",,1
0,1,24,2,100,0,0,0,0,0,6,5,7,7,9,7,6,9,1,24,1,2,2,5,"65,929.00",,0
0,1,27,2,35,20,20,20,0,5,7,8,6,5,8,4,5,2,0,25,2,2,8,4,,,0
