match,samerace,age_o,dec_o,field_cd,like_o,shar_o,sinc_o,race_o,intel_o,attr_o,amb_o,fun_o,age,race,imprace,imprelig,exphappy,career_c,dec
0.00E+00,0.00E+00,2.70E+01,0.00E+00,1.00E+00,7.00E+00,6.00E+00,8.00E+00,2.00E+00,8.00E+00,6.00E+00,8.00E+00,8.00E+00,2.10E+01,4.00E+00,2.00E+00,4.00E+00,3.00E+00,2.00E+00,1.00E+00
0.00E+00,0.00E+00,2.20E+01,0.00E+00,1.00E+00,8.00E+00,5.00E+00,8.00E+00,2.00E+00,1.00E+01,7.00E+00,7.00E+00,7.00E+00,2.10E+01,4.00E+00,2.00E+00,4.00E+00,3.00E+00,-3.13E+00,1.00E+00
1.00E+00,1.00E+00,2.20E+01,1.00E+00,1.00E+00,1.00E+01,1.00E+01,1.00E+01,4.00E+00,1.00E+01,1.00E+01,1.00E+01,1.00E+01,2.10E+01,4.00E+00,2.00E+00,4.00E+00,3.00E+00,1.55E+00,1.00E+00
1.00E+00,0.00E+00,2.30E+01,1.00E+00,1.00E+00,7.00E+00,8.00E+00,8.00E+00,2.00E+00,9.00E+00,7.00E+00,9.00E+00,8.00E+00,2.10E+01,4.00E+00,2.00E+00,4.00E+00,3.00E+00,3.52E-01,1.00E+00
1.00E+00,0.00E+00,2.40E+01,1.00E+00,1.00E+00,8.00E+00,7.00E+00,7.00E+00,3.00E+00,9.00E+00,8.00E+00,9.00E+00,6.00E+00,2.10E+01,4.00E+00,2.00E+00,4.00E+00,3.00E+00,3.48E+00,1.00E+00
0.00E+00,0.00E+00,2.50E+01,1.00E+00,1.00E+00,7.00E+00,7.00E+00,7.00E+00,2.00E+00,8.00E+00,7.00E+00,7.00E+00,8.00E+00,2.10E+01,4.00E+00,2.00E+00,4.00E+00,3.00E+00,2.13E+00,0.00E+00
0.00E+00,0.00E+00,3.00E+01,0.00E+00,1.00E+00,2.00E+00,7.00E+00,6.00E+00,2.00E+00,7.00E+00,3.00E+00,8.00E+00,5.00E+00,2.10E+01,4.00E+00,2.00E+00,4.00E+00,3.00E+00,2.69E+00,1.00E+00
0.00E+00,0.00E+00,2.70E+01,0.00E+00,1.00E+00,7.00E+00,6.00E+00,7.00E+00,2.00E+00,5.00E+00,6.00E+00,8.00E+00,6.00E+00,2.10E+01,4.00E+00,2.00E+00,4.00E+00,3.00E+00,3.92E+00,0.00E+00
1.00E+00,0.00E+00,2.80E+01,1.00E+00,1.00E+00,6.50E+00,9.00E+00,7.00E+00,2.00E+00,8.00E+00,7.00E+00,8.00E+00,8.00E+00,2.10E+01,4.00E+00,2.00E+00,4.00E+00,3.00E+00,7.14E+00,1.00E+00
0.00E+00,0.00E+00,2.40E+01,0.00E+00,1.00E+00,6.00E+00,6.00E+00,6.00E+00,2.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,2.10E+01,4.00E+00,2.00E+00,4.00E+00,3.00E+00,5.16E+00,1.00E+00
0.00E+00,1.00E+00,2.70E+01,0.00E+00,1.00E+00,7.00E+00,4.00E+00,7.00E+00,2.00E+00,6.00E+00,8.00E+00,7.00E+00,9.00E+00,2.40E+01,2.00E+00,2.00E+00,5.00E+00,4.00E+00,4.59E-01,0.00E+00
0.00E+00,1.00E+00,2.20E+01,0.00E+00,1.00E+00,8.00E+00,5.00E+00,6.00E+00,2.00E+00,1.00E+01,7.00E+00,6.00E+00,6.00E+00,2.40E+01,2.00E+00,2.00E+00,5.00E+00,4.00E+00,6.39E+00,0.00E+00
0.00E+00,0.00E+00,2.20E+01,1.00E+00,1.00E+00,1.00E+01,1.00E+01,1.00E+01,4.00E+00,1.00E+01,1.00E+01,1.00E+01,1.00E+01,2.40E+01,2.00E+00,2.00E+00,5.00E+00,4.00E+00,1.03E-01,0.00E+00
1.00E+00,1.00E+00,2.30E+01,1.00E+00,1.00E+00,9.00E+00,9.00E+00,9.00E+00,2.00E+00,9.00E+00,9.00E+00,9.00E+00,9.00E+00,2.40E+01,2.00E+00,2.00E+00,5.00E+00,4.00E+00,5.68E+00,1.00E+00
0.00E+00,0.00E+00,2.40E+01,1.00E+00,1.00E+00,1.00E+01,8.00E+00,1.00E+01,3.00E+00,1.00E+01,1.00E+01,7.00E+00,1.00E+01,2.40E+01,2.00E+00,2.00E+00,5.00E+00,4.00E+00,4.33E+00,0.00E+00
0.00E+00,1.00E+00,2.50E+01,1.00E+00,1.00E+00,7.00E+00,7.00E+00,8.00E+00,2.00E+00,7.00E+00,7.00E+00,7.00E+00,5.00E+00,2.40E+01,2.00E+00,2.00E+00,5.00E+00,4.00E+00,7.61E+00,0.00E+00
0.00E+00,1.00E+00,3.00E+01,0.00E+00,1.00E+00,4.00E+00,3.00E+00,3.00E+00,2.00E+00,4.00E+00,5.00E+00,5.00E+00,3.00E+00,2.40E+01,2.00E+00,2.00E+00,5.00E+00,4.00E+00,4.98E-01,1.00E+00
0.00E+00,1.00E+00,2.70E+01,1.00E+00,1.00E+00,7.00E+00,5.00E+00,7.00E+00,2.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,2.40E+01,2.00E+00,2.00E+00,5.00E+00,4.00E+00,4.83E+00,0.00E+00
1.00E+00,1.00E+00,2.80E+01,1.00E+00,1.00E+00,8.00E+00,7.00E+00,6.00E+00,2.00E+00,9.00E+00,8.00E+00,8.00E+00,9.00E+00,2.40E+01,2.00E+00,2.00E+00,5.00E+00,4.00E+00,2.09E+00,1.00E+00
0.00E+00,1.00E+00,2.40E+01,0.00E+00,1.00E+00,6.00E+00,7.00E+00,5.00E+00,2.00E+00,7.00E+00,6.00E+00,9.00E+00,7.00E+00,2.40E+01,2.00E+00,2.00E+00,5.00E+00,4.00E+00,9.07E+00,1.00E+00
0.00E+00,1.00E+00,2.70E+01,0.00E+00,2.00E+00,5.00E+00,4.00E+00,8.00E+00,2.00E+00,6.00E+00,7.00E+00,8.00E+00,5.00E+00,2.50E+01,2.00E+00,8.00E+00,4.00E+00,4.00E+00,4.58E+00,0.00E+00
0.00E+00,1.00E+00,2.20E+01,0.00E+00,2.00E+00,7.00E+00,5.00E+00,7.00E+00,2.00E+00,1.00E+01,6.00E+00,6.00E+00,6.00E+00,2.50E+01,2.00E+00,8.00E+00,4.00E+00,4.00E+00,7.52E+00,0.00E+00
