gender,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,shar_o,amb_o,fun_o,intel_o,like_o,prob_o,met_o,age,field_cd,race,imprace,career_c,income,dec_o
1,0,21,4,15,20,20,15,15,15,6,5,6,7,7,7,6,1,27,8,2,7,2,22696.46379,1
1,1,24,2,45,5,25,20,0,5,5,3,6,4,8,6,4,1,27,8,2,7,2,24723.27801,0
1,1,25,2,35,10,35,10,10,0,7,9,8,7,10,8,7,0,27,8,2,7,2,35300.96905,0
1,1,23,2,20,20,20,20,10,10,4,7,8,5,8,6,7,1,27,8,2,7,2,48012.32918,0
1,1,21,2,20,5,25,25,10,15,5,2,2,2,8,7,5,1,27,8,2,7,2,41272.32438,0
1,0,23,4,10,25,20,25,5,15,6,6,7,6,7,6,6,1,27,8,2,7,2,13876.51784,1
1,0,22,4,15,15,25,20,15,10,4,4,7,5,8,7,4,1,27,8,2,7,2,47661.80667,0
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,5,5,7,4,7,4,5,1,27,8,2,7,2,26389.63487,1
1,0,26,6,20,10,20,30,10,10,8,6,7,8,9,5,5,1,27,8,2,7,2,35356.06473,1
1,1,26,2,15,15,15,40,10,5,6,3.13204061,6,6,10,6,3,1,27,8,2,7,2,23734.99316,0
1,0,21,4,15,20,20,15,15,15,7,6,5,8,7,7,5,0,22,1,2,1,1,29237,1
1,1,24,2,45,5,25,20,0,5,8,6,9,6,6,7,3,1,22,1,2,1,1,29237,0
1,1,25,2,35,10,35,10,10,0,9,7,9,8,9,8,7,1,22,1,2,1,1,29237,0
1,1,23,2,20,20,20,20,10,10,8,8,7,10,8,8,1,0,22,1,2,1,1,29237,0
1,1,21,2,20,5,25,25,10,15,8,5,5,5,6,6,4,0,22,1,2,1,1,29237,0
1,0,23,4,10,25,20,25,5,15,6,2,8,6,9,7,6,1,22,1,2,1,1,29237,1
1,0,22,4,15,15,25,20,15,10,6,4,9,4,8,7,3,0,22,1,2,1,1,29237,0
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,8,7,6,9,7,8,7,1,22,1,2,1,1,29237,1
1,0,26,6,20,10,20,30,10,10,10,10,10,10,10,10,5,1,22,1,2,1,1,29237,1
1,1,26,2,15,15,15,40,10,5,1,1.832064803,1,1,1,1,1,0,22,1,2,1,1,29237,0
1,0,24,2,45,5,25,20,0,5,5,4,3,6,9,6,7,1,22,1,4,3,1,30669.51552,0
1,0,25,2,35,10,35,10,10,0,7,7,9,7,9,8,7,1,22,1,4,3,1,42759.86965,0
1,0,23,2,20,20,20,20,10,10,4,7,6,8,8,4,1,1,22,1,4,3,1,50398.80976,0
1,0,21,2,20,5,25,25,10,15,4,5,6,8,8,6,5,0,22,1,4,3,1,46384.14472,0
1,1,23,4,10,25,20,25,5,15,4,2,3,4,9,6,2,0,22,1,4,3,1,48150.1415,0
1,1,22,4,15,15,25,20,15,10,3,8,8,7,8,7,8,0,22,1,4,3,1,54378.22283,0
1,0,25,2,9.09,18.18,27.27,18.18,18.18,9.09,5,7,7,6,8,5,5,1,22,1,4,3,1,41195.5278,1
1,0,26,6,20,10,20,30,10,10,5,6,6,6,10,8,5,1,22,1,4,3,1,30404.83006,1
1,0,26,2,15,15,15,40,10,5,6,5.93296618,6,10,10,7,6,1,22,1,4,3,1,56278.64846,1
1,0,21,4,15,20,20,15,15,15,7,8,6,7,8,7,6,1,23,1,2,1,1,56580,1
1,1,24,2,45,5,25,20,0,5,7,7,5,6,7,7,8,1,23,1,2,1,1,56580,1
1,1,25,2,35,10,35,10,10,0,9,7,9,7,9,8,7,1,23,1,2,1,1,56580,0
1,1,23,2,20,20,20,20,10,10,8,10,7,10,7,8,10,0,23,1,2,1,1,56580,1
1,1,21,2,20,5,25,25,10,15,8,9,7,7,5,8,2,0,23,1,2,1,1,56580,1
1,0,23,4,10,25,20,25,5,15,8,8,2,8,7,9,4,1,23,1,2,1,1,56580,1
1,0,22,4,15,15,25,20,15,10,7,6,7,7,8,8,6,0,23,1,2,1,1,56580,1
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,8,5,6,6,5,5,6,1,23,1,2,1,1,56580,1
1,0,26,6,20,10,20,30,10,10,10,7,7,8,8,7,5,1,23,1,2,1,1,56580,1
1,1,26,2,15,15,15,40,10,5,10,4.587265535,10,10,10,10,1,0,23,1,2,1,1,56580,0
1,0,21,4,15,20,20,15,15,15,5,6,6,7,7,6,6,1,24,1,3,3,1,36782,1
1,0,24,2,45,5,25,20,0,5,6,8,7,9,7,8,6,0,24,1,3,3,1,36782,0
1,0,23,2,20,20,20,20,10,10,6,9,8,9,8,7,7,1,24,1,3,3,1,36782,0
1,0,21,2,20,5,25,25,10,15,6,8,4,5,7,7,4,1,24,1,3,3,1,36782,0
1,0,23,4,10,25,20,25,5,15,5,2,4,8,8,4,3,0,24,1,3,3,1,36782,0
1,0,22,4,15,15,25,20,15,10,4,5,8,4,7,5,6,0,24,1,3,3,1,36782,0
1,0,25,2,9.09,18.18,27.27,18.18,18.18,9.09,6,7,6,5,8,6,5,1,24,1,3,3,1,36782,1
1,0,26,6,20,10,20,30,10,10,5,5,5,8,8,5,5,1,24,1,3,3,1,36782,1
1,0,26,2,15,15,15,40,10,5,5,6.932869333,7,7,7,6,1,1,24,1,3,3,1,36782,0
1,0,21,4,15,20,20,15,15,15,4,4,6,4,7,6,5,1,25,8,2,9,7,32601.60778,0
1,1,24,2,45,5,25,20,0,5,8,2,6,3,8,6,5,1,25,8,2,9,7,72793.20238,0
1,1,23,2,20,20,20,20,10,10,5,2,8,4,8,4,3,1,25,8,2,9,7,24835.62972,0
1,1,21,2,20,5,25,25,10,15,5,8,7,5,7,7,3,1,25,8,2,9,7,38951.30292,1
1,0,23,4,10,25,20,25,5,15,3,1,1,1,6,2,2,1,25,8,2,9,7,61958.71291,0
1,0,22,4,15,15,25,20,15,10,4,4,5,4,7,5,5,1,25,8,2,9,7,26468.73534,0
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,6,7,6,5,8,6,5,1,25,8,2,9,7,50872.73013,1
1,0,26,6,20,10,20,30,10,10,8,5,6,7,9,6,5,1,25,8,2,9,7,57177.58363,1
1,1,26,2,15,15,15,40,10,5,5,4.325340639,6,4,6,6,1,1,25,8,2,9,7,40699.77266,0
1,0,21,4,15,20,20,15,15,15,7,7,6,4,7,6,5,1,30,13,2,1,2,38548,1
1,1,24,2,45,5,25,20,0,5,7,9,7,6,9,8,7,1,30,13,2,1,2,38548,1
1,1,25,2,35,10,35,10,10,0,8,9,7,7,10,8,7,1,30,13,2,1,2,38548,0
1,1,23,2,20,20,20,20,10,10,7,5,10,7,10,5,1,1,30,13,2,1,2,38548,0
1,1,21,2,20,5,25,25,10,15,6,6,5,5,8,6,3,1,30,13,2,1,2,38548,1
1,0,23,4,10,25,20,25,5,15,8,4,3,8,8,8,7,1,30,13,2,1,2,38548,1
1,0,22,4,15,15,25,20,15,10,7,7,7,7,8,8,7,1,30,13,2,1,2,38548,1
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,6,7,7,5,8,6,6,1,30,13,2,1,2,38548,1
1,0,26,6,20,10,20,30,10,10,6,6,6,6,9,7,5,1,30,13,2,1,2,38548,1
1,1,26,2,15,15,15,40,10,5,5,5.202021168,9,6,8,7,1,1,30,13,2,1,2,38548,1
1,0,21,4,15,20,20,15,15,15,4,6,5,6,7,6,7,0,27,8,2,8,7,52010,0
1,1,24,2,45,5,25,20,0,5,5,5,9,5,7,5,6,1,27,8,2,8,7,52010,0
1,1,25,2,35,10,35,10,10,0,7,7,9,8,9,8,7,1,27,8,2,8,7,52010,0
1,1,23,2,20,20,20,20,10,10,5,7,9,5,9,6,6,1,27,8,2,8,7,52010,0
1,1,21,2,20,5,25,25,10,15,5,5,7,6,7,6,4,1,27,8,2,8,7,52010,1
1,0,23,4,10,25,20,25,5,15,4,3,8,2,9,5,5,1,27,8,2,8,7,52010,0
1,0,22,4,15,15,25,20,15,10,5,5,9,5,8,5,7,1,27,8,2,8,7,52010,0
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,5,6,5,4,7,5,4,1,27,8,2,8,7,52010,1
1,0,26,6,20,10,20,30,10,10,6,6,9,7,8,7,5,1,27,8,2,8,7,52010,1
1,1,26,2,15,15,15,40,10,5,5,4.451733015,5,4,6,5,5,1,27,8,2,8,7,52010,0
1,0,21,4,15,20,20,15,15,15,7,8,8,9,8,7,7,1,28,8,2,1,7,49893.31736,1
1,1,24,2,45,5,25,20,0,5,7,5,4,9,8,5,6,1,28,8,2,1,7,36294.19336,1
1,1,25,2,35,10,35,10,10,0,9,9,9,9,9,9,7,1,28,8,2,1,7,13426.0392,0
1,1,23,2,20,20,20,20,10,10,9,8,7,10,10,8,8,1,28,8,2,1,7,23494.57786,1
1,1,21,2,20,5,25,25,10,15,7,9,7,8,7,9,4,1,28,8,2,1,7,44810.22671,1
1,0,23,4,10,25,20,25,5,15,7,9,6,8,8,9,6,1,28,8,2,1,7,43310.84231,1
1,0,22,4,15,15,25,20,15,10,6,6,8,8,8,6,6,1,28,8,2,1,7,41021.93687,1
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,8,9,8,9,5,7,10,1,28,8,2,1,7,16307.48183,1
1,0,26,6,20,10,20,30,10,10,8,5,5,6,5,7,6,1,28,8,2,1,7,28082.77322,1
1,1,26,2,15,15,15,40,10,5,9,9,9,9,9,9,9,1,28,8,2,1,7,48193.1161,1
1,0,21,4,15,20,20,15,15,15,5,8,10,8,6,6,6,1,24,8,2,1,7,43328.23667,1
1,1,24,2,45,5,25,20,0,5,6,8,9,7,8,8,7,1,24,8,2,1,7,40662.61292,1
1,1,25,2,35,10,35,10,10,0,8,7,9,7,9,8,7,1,24,8,2,1,7,19838.26199,0
1,1,23,2,20,20,20,20,10,10,8,8,8,10,10,10,8,1,24,8,2,1,7,47844.00606,1
1,1,21,2,20,5,25,25,10,15,9,5,6,9,7,10,3,1,24,8,2,1,7,55375.93526,1
1,0,23,4,10,25,20,25,5,15,8,7,10,9,9,9,8,1,24,8,2,1,7,17073.13266,1
1,0,22,4,15,15,25,20,15,10,8,6,8,7,7,7,5,1,24,8,2,1,7,53171.35195,1
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,7,8,9,7,8,8,7,1,24,8,2,1,7,33172.07086,1
1,0,26,6,20,10,20,30,10,10,7,8,7,8,7,8,5,1,24,8,2,1,7,20418.32303,1
1,1,26,2,15,15,15,40,10,5,9,8,8,10,8,9,10,1,24,8,2,1,7,51102.71039,1
1,1,21,4,12,18,20,16,16,18,6,7,5,9,7,9,1,0,25,0,4,9,1,42096,0
1,0,27,1,20,20,20,10,10,20,5,5,7,6,7,6,4,1,25,0,4,9,1,42096,0
1,1,21,4,10,20,40,10,10,10,5,7,6,6,6,8,6,1,25,0,4,9,1,42096,1
1,0,27,2,10,20,20,15,20,15,5,3.448521972,7,7,7,6,3,1,25,0,4,9,1,42096,0
1,0,25,2,20,20,15,15,15,15,7,5,8,6,9,6,4,1,25,0,4,9,1,42096,0
1,0,23,2,20,20,20,15,15,10,2,2,5,3,5,2,2,1,25,0,4,9,1,42096,0
1,0,22,3,17,10,18,20,25,10,2,8.891547768,6,6,6,3,3,1,25,0,4,9,1,42096,0
1,0,22,2,20,22,18,15,15,10,4,5.013811483,5,4,4,5,4,1,25,0,4,9,1,42096,0
1,0,23,2,10,20,20,20,20,10,3,5,6,5,6,6,5,1,25,0,4,9,1,42096,0
1,0,24,2,35,10,20,20,10,5,4,4,6,6,6,5,4,1,25,0,4,9,1,42096,0
1,1,27,4,50,0,50,0,0,0,4,6,8.525436567,9,7,5,5,1,25,0,4,9,1,42096,0
1,0,30,2,30,20,30,10,0,10,6,4,7,10,7,8,5,1,25,0,4,9,1,42096,1
1,1,21,4,30,5,30,15,15,5,4,4.397568387,4,4,5,5,6,1,25,0,4,9,1,42096,0
1,0,25,2,20,23,23,22,7,5,6,8,7,7,9,7,7,1,25,0,4,9,1,42096,1
1,0,26,2,20,25,20,15,15,5,2,3,1,3,2,2,5,1,25,0,4,9,1,42096,0
1,0,27,2,10,10,30,25,10,15,2,3,4,4,5,3,6,1,25,0,4,9,1,42096,0
1,0,24,3,20,20,20,15,15,10,3,3.043302244,8,6,9,5,5,1,30,1,4,1,1,46603.74843,0
