gender,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,shar_o,amb_o,fun_o,intel_o,like_o,prob_o,met_o,age,field_cd,race,imprace,career_c,income,dec_o
0,1,27,2,35,20,20,20,0,5,6,5,7,7,8,6,3,1,23,1,2,1,1,37754,0
0,1,22,2,60,0,0,40,0,0,6,5,6,6,10,6,3,0,23,1,2,1,1,37754,0
0,0,22,4,19,18,19,18,14,12,10,10,10,10,10,10,10,0,23,1,2,1,1,37754,1
0,1,23,2,30,5,15,40,5,5,7,9,9,9,7,8,10,0,23,1,2,1,1,37754,1
0,0,24,3,30,10,20,10,10,20,8,9,8,8,9,9,7,1,23,1,2,1,1,37754,1
0,1,25,2,50,0,30,10,0,10,6,7,8,7,7,6,6,1,23,1,2,1,1,37754,1
0,1,30,2,35,15,25,10,5,10,7,5,6,5,3,6,4,1,23,1,2,1,1,37754,1
0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,6,5,6,6,8,7,7,1,23,1,2,1,1,37754,0
0,1,28,2,50,0,25,10,0,15,7,10,9,10,7,8,8,1,23,1,2,1,1,37754,1
0,1,24,2,100,0,0,0,0,0,7,7,8,7,8,7,7,1,23,1,2,1,1,37754,0
0,1,27,2,35,20,20,20,0,5,6,6,7,8,8,6,5,1,21,1,2,8,1,86340,0
0,1,22,2,60,0,0,40,0,0,6,5,6,7,10,7,4,0,21,1,2,8,1,86340,0
0,0,22,4,19,18,19,18,14,12,10,10,10,10,10,10,10,0,21,1,2,8,1,86340,1
0,1,23,2,30,5,15,40,5,5,6,10,10,8,6,7,7,0,21,1,2,8,1,86340,1
0,0,24,3,30,10,20,10,10,20,5,5,9,7,9,5,7,1,21,1,2,8,1,86340,0
0,1,25,2,50,0,30,10,0,10,5,7,7,7,7,6,7,1,21,1,2,8,1,86340,0
0,1,30,2,35,15,25,10,5,10,2,3,5,4,4,3,3,1,21,1,2,8,1,86340,0
0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,5,5,5,5,6,6,5,1,21,1,2,8,1,86340,0
0,1,28,2,50,0,25,10,0,15,5,6,9,9,9,7,7,1,21,1,2,8,1,86340,1
0,1,24,2,100,0,0,0,0,0,3,5,10,7,7,4,10,1,21,1,2,8,1,86340,0
0,0,27,2,35,20,20,20,0,5,7,4,8,9,8,7,4,1,23,1,4,1,1,60304,0
0,0,22,2,60,0,0,40,0,0,6,6,7,6,10,7,4,1,23,1,4,1,1,60304,0
0,1,22,4,19,18,19,18,14,12,10,10,10,10,10,10,10,0,23,1,4,1,1,60304,1
0,0,23,2,30,5,15,40,5,5,6,8,9,7,8,7,7,1,23,1,4,1,1,60304,1
0,0,24,3,30,10,20,10,10,20,9,6,9,7,9,9,2,0,23,1,4,1,1,60304,1
0,0,25,2,50,0,30,10,0,10,6,7,8,8,8,6,6,1,23,1,4,1,1,60304,1
0,0,30,2,35,15,25,10,5,10,5,4,5,4,8,3,3,1,23,1,4,1,1,60304,0
0,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,6,5,8,7,8,7,6,1,23,1,4,1,1,60304,0
0,0,28,2,50,0,25,10,0,15,6,6,6,6,7,6,6,1,23,1,4,1,1,60304,1
0,0,24,2,100,0,0,0,0,0,7,7,10,6,10,6,7,1,23,1,4,1,1,60304,0
0,0,27,2,35,20,20,20,0,5,7,7,7,8,8,7,4,1,22,1,4,2,1,54620,0
0,0,22,2,60,0,0,40,0,0,7,5,6,6,10,8,4,0,22,1,4,2,1,54620,1
0,1,22,4,19,18,19,18,14,12,10,10,10,10,10,10,10,0,22,1,4,2,1,54620,1
0,0,23,2,30,5,15,40,5,5,8,9,9,8,9,8,7,0,22,1,4,2,1,54620,1
0,0,24,3,30,10,20,10,10,20,8,5,9,6,9,8,4,1,22,1,4,2,1,54620,1
0,0,25,2,50,0,30,10,0,10,8,6,6,6,8,7,7,1,22,1,4,2,1,54620,1
0,0,30,2,35,15,25,10,5,10,7,3,4,4,5,5,4,1,22,1,4,2,1,54620,0
0,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,8,5,7,7,6,7,5,1,22,1,4,2,1,54620,1
0,0,28,2,50,0,25,10,0,15,9,10,9,9,9,9,9,1,22,1,4,2,1,54620,1
0,0,24,2,100,0,0,0,0,0,7,7,8,6,8,7,7,1,22,1,4,2,1,54620,0
0,1,27,2,35,20,20,20,0,5,8,5,6,6,6,7,4,1,25,13,2,1,6,21166.28833,0
0,1,22,2,60,0,0,40,0,0,8,5,6,7,10,9,4,1,25,13,2,1,6,41235.86983,1
0,0,22,4,19,18,19,18,14,12,10,10,10,10,10,10,10,1,25,13,2,1,6,44069.78217,1
0,1,23,2,30,5,15,40,5,5,8,7,8,8,8,8,7,1,25,13,2,1,6,36156.78445,1
0,0,24,3,30,10,20,10,10,20,9,7,8.117005019,9,8,9,7,1,25,13,2,1,6,60660.9102,1
0,1,25,2,50,0,30,10,0,10,8,7,8,7,7,7,6,1,25,13,2,1,6,64419.56119,1
0,1,30,2,35,15,25,10,5,10,6,4,6,5,7,4,4,1,25,13,2,1,6,26353.14175,0
0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,9,5,7,8,8,7,5,1,25,13,2,1,6,31115.23524,1
0,1,28,2,50,0,25,10,0,15,8,10,8,10,8,8,8,1,25,13,2,1,6,33926.79478,1
0,1,24,2,100,0,0,0,0,0,8,8,8,9,9,8,8,1,25,13,2,1,6,51083.04804,1
